Gene_combination	cell_line	condition	Class_label_sum	Correlation_dep	Class_label_dep	Label_Agreement	Correlation_corr	Class_label_corr	Class_label_exp
SP100_SP140L	A375	2CP	GI	0.0559106713124805	no GI	Disagree	0.7624971112604519	GI	no GI
SP110_SP140L	A375	2CP	no GI	-0.0497854305220347	no GI	Agree	0.6306639643409412	GI	no GI
SP110_SP140L	A375	2CP	no GI	-0.0497854305220347	no GI	Agree	0.6306639643409412	GI	no GI
SP1_SP2	A375	2CP	no GI	0.0272141202819287	no GI	Agree	0.4855072481534269	no GI	no GI
SP1_SP2	A375	2CP	no GI	0.0272141202819287	no GI	Agree	0.4855072481534269	no GI	no GI
SP1_SP3	A375	2CP	no GI	0.3063964226476143	GI	Disagree	0.5132410501779783	no GI	no GI
SP1_SP3	A375	2CP	no GI	0.3063964226476143	GI	Disagree	0.5132410501779783	no GI	no GI
SP2_SP3	A375	2CP	no GI	-0.0142408465977632	no GI	Agree	0.4680982934587734	no GI	no GI
SP2_SP3	A375	2CP	no GI	-0.0142408465977632	no GI	Agree	0.4680982934587734	no GI	no GI
SPAG1_TOMM34	A375	2CP	GI	0.0654524465658775	no GI	Disagree	0.1955186098182809	no GI	no GI
SPAG1_TOMM34	A375	2CP	GI	0.0654524465658775	no GI	Disagree	0.1955186098182809	no GI	no GI
SPATA5L1_VCP	A375	2CP	lol	-0.2521340274506936	GI	Disagree	0.1029412097881131	no GI	no GI
SPATA5L1_VCP	A375	2CP	lol	-0.2521340274506936	GI	Disagree	0.1029412097881131	no GI	no GI
SPATS2_SPATS2L	A375	2CP	no GI	0.0681684319534616	no GI	Agree	0.0769766461879874	no GI	no GI
SPATS2_SPATS2L	A375	2CP	no GI	0.0681684319534616	no GI	Agree	0.0769766461879874	no GI	no GI
SPECC1_SPECC1L	A375	2CP	no GI	0.0159005226294339	no GI	Agree	0.041586735982843	no GI	no GI
SPECC1_SPECC1L	A375	2CP	no GI	0.0159005226294339	no GI	Agree	0.041586735982843	no GI	no GI
SPHK1_SPHK2	A375	2CP	no GI	-0.0516605860138351	no GI	Agree	-0.2043952336536002	no GI	no GI
SPHK1_SPHK2	A375	2CP	no GI	-0.0516605860138351	no GI	Agree	-0.2043952336536002	no GI	no GI
SPIN1_SPIN3	A375	2CP	no GI	0.0954474280990177	no GI	Agree	0.2213804402496113	no GI	no GI
SPIN1_SPIN3	A375	2CP	no GI	0.0954474280990177	no GI	Agree	0.2213804402496113	no GI	no GI
SPIN1_SPIN4	A375	2CP	no GI	0.0236755589575268	no GI	Agree	0.2824253192332044	no GI	GI
SPIN1_SPIN4	A375	2CP	no GI	0.0236755589575268	no GI	Agree	0.2824253192332044	no GI	GI
